#cluster	node_ID	child_1	child_2	IC	IC_child_1	IC_child_2	Sites	Sites_child_1	Sites_child_2
cluster_9	9	a.t_motifs_m274_AT3G02990	a.t_motifs_m400_AT4G11660	12.61	12.02	12.52	1096	508	588
cluster_9	10	a.t_motifs_m330_AT3G24520	4	10.51	10.96	10.01	1800	600	1200
cluster_9	4	a.t_motifs_m513_AT5G16820	a.t_motifs_m595_AT5G62020	10.01	10.24	10.17	1200	600	600
cluster_9	25	a.t_motifs_m549_AT5G42630	24	8.02	8.74	7.91	9084	1000	8084
cluster_9	24	22	23	7.91	8.87	8.89	8084	4490	3594
cluster_9	23	13	19	8.89	8.50	9.01	3594	1799	1795
cluster_9	13	a.t_motifs_m180_AT2G03500	6	8.50	9.28	8.59	1799	600	1199
cluster_9	6	a.t_motifs_m463_AT4G37180	a.t_motifs_m52_AT1G25550	8.59	8.93	8.59	1199	600	599
cluster_9	19	a.t_motifs_m28_AT1G13300	15	9.01	9.18	8.89	1795	596	1199
cluster_9	15	a.t_motifs_m127_AT1G68670	a.t_motifs_m93_AT1G49560	8.89	8.52	8.88	1199	600	599
cluster_9	22	a.t_motifs_m231_AT2G38300	18	8.87	8.51	9.00	4490	600	3890
cluster_9	18	8	16	9.00	10.31	9.12	3890	1392	2498
cluster_9	16	11	14	9.12	10.32	8.82	2498	703	1795
cluster_9	14	a.t_motifs_m236_AT2G40260	5	8.82	9.20	9.13	1795	600	1195
cluster_9	5	a.t_motifs_m277_AT3G04030	a.t_motifs_m554_AT5G45580	9.13	9.00	9.44	1195	598	597
cluster_9	11	a.t_motifs_m169_AT2G01060	a.t_motifs_m299_AT3G12730	10.32	10.08	11.62	703	598	105
cluster_9	8	a.t_motifs_m69_AT1G32240	2	10.31	10.08	10.77	1392	214	1178
cluster_9	2	a.t_motifs_m195_AT2G20400	a.t_motifs_m538_AT5G29000	10.77	11.11	10.61	1178	578	600
