"","logFC","logCPM","PValue","FDR","WT.P_Avg_CPM","WT.24_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA07003915",-5.07134650575919,5.58287277747176,6.92015049228264e-06,0.0349033194733982,"  2.397007"," 81.257235","BraA07003915","AT1G21310","EXT3","extensin 3","-","-"
"BraA08001997",-3.73568964252129,2.59270268087846,1.10874585366576e-05,0.0349033194733982," 0.5095505"," 7.2376454","BraA08001997","AT4G29270","AT4G29270","HAD superfamily, subfamily IIIB acid phosphatase","-","-"
