"","logFC","logCPM","PValue","FDR","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA09005649",3.1291379589679,3.65955569867224,7.398439616085e-29,1.29390488396864e-25,"BraA09005649","AT3G63520","CCD1","carotenoid cleavage dioxygenase 1","-","-"
"BraA01002310",4.86173752744503,0.390499876802076,4.87376968012702e-10,1.06546020507221e-07,"BraA01002310",NA,NA,NA,NA,NA
"BraA03005500",4.74366297573969,-0.639464100865135,1.11948954702915e-08,1.57328263127132e-06,"BraA03005500","AT4G24040","TRE1","trehalase 1","-","-"
"BraA02000132",4.71735146056978,-0.739351534343655,3.94056614348898e-06,0.000274805478339349,"BraA02000132","AT5G04040","SDP1","Patatin-like phospholipase family protein","-","-"
